audio_filepath,texts
F1/Audio/inform_855_18.wav,"осы мақсатта арнайы әдебиет, руханият бетін ашқанбыз."
F1/Audio/inform_2014_08.wav,"осыған байланысты, ақ жол партиясы алға қойылған міндеттерді қолдайтындынын және оларды іске асыруға белсенді қатысуға дайын екендігін мәлімдейді."
F1/Audio/inform_603_06.wav,"батыс қазақстан, ақтөбе, шығыс қазақстан облыстарының кей жерлеріңде бұрқасын, көктайғақ, тұман болып, желдің жылдамдығы секундына он бес-жиырма метрге дейін жетеді."
F1/Audio/inform_771_02.wav,осы жылдың тоғыз айында ғана прокуратура органдары әкімдіктер мен мәслихаттар қабылдаған алты жүз сегіз құқықтық актіні қабылданған заңдарға сай келмеуіне байланысты жойды және өзгертті.
F1/Audio/inform_1093_09.wav,қазақстанда тәуелсіз отанымыздың қасиетті сипатын көрсететін еліміздің мызғымас негізінің бірі - егемендігін білдіретін мемлекеттік рәміздер бекітілді.
F1/Audio/inform_2775_24.wav,"бұл - инспекторлардың полициямен бірге аумақты қорғауды күшейтіп, табиғатта тыныштықты қамтамасыз етуінің нәтижесі деуге болады."
F1/Audio/inform_3366_19.wav,"әлеуметтік медициналық сақтандыру қоры басқарма төрағасының орынбасары ләззат ақтаева екі мың жиырма бірінші жылдың бірінші қаңтарынан бастап пандемиядан көбірек зардап шеккен салаларда жұмыс істейтін,"
F1/Audio/inform_3403_15.wav,бекет аймағамбетов сапалы жұмыс істеген қызметкерлерге сыйақы тағайындайтынын айтты.
F1/Audio/inform_2011_03.wav,ақпараттық агенттігі қазақ ғылыми-зерттеу мәдениет институтының баспасөз қызметіне сілтеме жасап хабарлайды.
F1/Audio/inform_2077_15.wav,бұл пәндерге деген құштарлығы оны біраз жетістіктерге жеткізген.
F1/Audio/inform_4530_069.wav,облыс көлемінде төрт жүз қырық тоғыз инфекциялық бірінші-екінші сатылы төсек орын бар.
F1/Audio/inform_1616_15.wav,бұл жерде азаматтарға қызмет көрсету орталығының арнайы терминалы орналасқан.
F1/Audio/inform_4517_10.wav,"ал халық оркестріне арнап жазған көктем поэмасы мен концерттік күй, ырғақты ырғақты, төгілмелі атты күйлері, төрт бөлімді аққудың айрылуы деген топтамасы оның композиторлық мүмкіндігінің жаңа қырын ашты."
F1/Audio/inform_1960_046.wav,"сапалы мамандар қайдан шығады? деген сұрақ туса, жауапты осы жерден табуға болар, бәлкім."
F1/Audio/inform_1526_06.wav,"биылғы бал әлемнің тоғыз мемлекетінің белсенді жастарының қатысуымен халықаралық деңгейде ұйымдастырылып отыр, - деді нұр-сұлтан қаласының әкімінің орынбасары бақтияр мәкен."
F1/Audio/inform_2071_22.wav,екі мың он алтыншы жылғы қарашадан бастап басқарма төрағасының кеңесшісі қызметіне ауысты.
F1/Audio/inform_2053_05.wav,"осының салдарынан бес көлік жол апатына ұшырады, екі адам көз жұмып, екі адам жарақат алды - дейді ол."
F1/Audio/inform_835_21.wav,"яғни екі жүз сексен бес жоба іске асырылса, бес жүз алпыс алты миллион  теңге көлемінде қайтарымсыз инвестиция берілді."
F1/Audio/inform_854_11.wav,"сонымен бірге, спикер парламент, мәслихат, қоғамдық ұйымдар, партиялар сынды мемлекетке тірек болатын институттарды қайта құрып шығу керектігін айтты."
F1/Audio/inform_2830_32.wav,сондай-ақ қазақстанның сайлау туралы конституциялық заңда бекітілген дауыс беру құпиясын сақтау қағидатына қол сұға алмайды.
F1/Audio/inform_865_37.wav,"ұлттық банктың мәліметінше, ағымдағы ақша-кредит талаптары әлсіз тежеуші ретінде бағаланады,"
F1/Audio/inform_2737_17.wav,"республиканың жүз мыңнан астам азаматы қуғын-сүргін құрбаны болды десек, осы комиссия жұмысының нәтижесі бойынша ол тізім он мың адамға дейін ұзарып кетуі мүмкін, - деді ол."
F1/Audio/inform_768_02.wav,"алтыншы желтоқсанда бес нөл-нөлде успен ауданының аумағында, лозовое елді мекеніне жақын маңда республикалық маңызы бар павлодар - успенка - ресей федерациясы шекарасы тасжолының"
F1/Audio/inform_856_13.wav,"атап айтқанда, келесі жыл мемлекет басшысы қасым-жомарт тоқаевтың ұсынысымен волонтер жылы деп жарияланды."
F1/Audio/inform_2790_07.wav,"дипломат елбасының сол форумда сөйлеген сөзінде қазақстанның ядролық сынақ полигонын бірінші болып жауып, сонымен қатар ядролық қарудан ерікті бас тартқаны туралы айтқаны туралы қосты."
F1/Audio/inform_1965_00.wav,"шығыс қазақстан облысында үш жолаушылар автобусы мен он тоғыз жеңіл көлік қар құрсауында қалды, деп хабарлайды қазақпарат шығыс қазақстан облысының төтенше жағдайлар департаменті баспасөз қызметіне сілтеме жасап."
F1/Audio/inform_2062_12.wav,"үшіншіден, париж келісімінің міндеттемелерін іске асыру мақсатында төмен көміртекті даму стратегиясын әзірлеуде мемлекет алған халықаралық міндеттемелерді орындау үшін."
F1/Audio/inform_3380_10.wav,"бұған дейін айтылғандай, тыныштық күні үгіттеу мақсатында бұқаралық ақпарат құралдарында кез келген материалды жариялауға тыйым салынады, - деді кемелбек ойшыбаев."
F1/Audio/inform_3443_17.wav,әлеуметтік-экономикалық дамудың жоспарланған көрсеткіштеріне қол жеткізу және мемлекет басшысы белгілеп берген міндеттерді тиімді іске асыруды қамтамасыз ету үшін барлық өңірлер әкімдері нақты шараларды қабылдауы қажет.
F1/Audio/inform_4086_03.wav,елбасы геннадий головкинді камил шереметамен жекпе-жекте айқын жеңіске жетуімен құттықтады.
F1/Audio/inform_878_04.wav,молдовия мен грузияның азаматтары да көші-қон қызметінде рұқсат алған.
F1/Audio/inform_786_03.wav,бұдан кейін жұмысқа кіріскен лига-финанс жауапкершілігі шектеулі серіктестігі де осындай жағдайға ұшырады.
F1/Audio/inform_1110_05.wav,"одан бөлек, әлеуметтік желілерде міндетті әлеуметтік медициналық сақтандыру туралы он бес мыңнан астам материал жарияланып, бір миллионнан астам түсіндірме парағы тұрғындарға таратылды."
F1/Audio/inform_2838_10.wav,облысқа тізімдегі жиырма сегіз дәрі-дәрмектің жиырма бірі жеткілікті деңгейде әкелінді.
F1/Audio/inform_2069_06.wav,"мәскеу түбіндегі ұрыстарға қатысып, панфилов атындағы сегізінші гвардиялық дивизия батальонының, полкінің командирі болған."
F1/Audio/inform_620_08.wav,"ресейлік төрешілер қонақтарды сексенінші мин сексен  минуттық айып уақытымен жазалап, тіпті  сексен бесінші  минутта оралдық қорғаушы илья глуховқа қызыл қағаз көрсетіп, айдыннан қуды."
F1/Audio/inform_2817_08.wav,биыл қаңтар-қараша айларында облыс мекемелері мен кәсіпорындарында жалақыны заңмен белгіленген мерзімнен кешіктіріп төлеген алты жағдай анықталды.
F1/Audio/inform_1633_13.wav,сағат он сегіз нөл-нөлде экспо іскерлік орталығының аумағында қалыптасқан дәстүр бойынша еліміздің бас шыршасының шамдарын жағу салтанаты өтеді.
F1/Audio/inform_4633_07.wav,"ақын бейнесін ашуға философиялық мазмұны терең көзімнің қарасы, қараңғы түнде тау қалғып, қай талқы секілді әндер алынған."
F1/Audio/inform_1630_04.wav,"дем алған кезде тыныс алу жолдары, өкпе зақымданады."
F1/Audio/inform_830_60.wav,"ақтау қаласы полиция басқармасы  ювеналды полиция бөлімшесінің бастығы гүлжан мұхамбетқызының айтуынша, ай сайын емханаларда құқық қорғау органдары тарапынан тарапынан тексерулер жүргізіледі екен."
F1/Audio/inform_4110_03.wav,"қазақша тәржімасымен баспадан шыққан қасиетті кітап аудан, қала, ауыл мешіттеріне, медресе-колледждерге, арнайы бөлімдеріге, кітапханаларға таратылды."
F1/Audio/inform_2029_15.wav,"жалпы, осы механизм арқылы бүкіл ірі қалада қоқыс мәселесін шешеміз деген ойдамын."
F1/Audio/inform_1138_6.wav,"сонымен қатар, азаматтарға заңдық тұрғыда қызметтер көрсетуге арналған орталықтың ішкі құрылымымен танысып шықты."
F1/Audio/inform_3312_00.wav,елде интернеттендіру үрдісі қарқын алуда.
F1/Audio/inform_3448_07.wav,"мәселен, бразилия реалы бір айда алты да алты пайызға, түрік лирасы - алты да екі пайыз, ресей рублі - үш те жеті пайызға дейін нығайды, - деп атап өтті досаев."
F1/Audio/inform_1144_07.wav,он үшінші желтоқсан күні мәреге жететін турнир жүлдегерлеріне ақшалай сыйлықтарға қоса спорт шеберлігіне үміткер атағы беріледі.
F1/Audio/inform_2073_23.wav,бұйрық екі мың жиырма бірінші жылғы қаңтарда күшіне енеді.
F1/Audio/inform_1069_05.wav,"сақтандыру жүйесінің маңызын толық түсіне бермейтін халық топтары арасында, медициналық сақтандырудың маңызын жете түсіндіру жұмыстарын жүргізу қажеттілігін айтты."
F1/Audio/inform_1600_08.wav,"сонымен қатар, бір әлем - бір өмір жобасына еліміздің танымал, мәдениет және қоғам қайраткерлері атсалысады."
F1/Audio/inform_892_05.wav,"он тоғызыншы ғасырдың бас кезеңіне жататын бұхар еврейлері дәстүрлі киімінің бір бөлігі болуы мүмкін, негізінен әйел адамға тиесілі болуы керек, әйтсе де нақты айту үшін қосымша жұмыстар атқарылуы тиіс."
F1/Audio/inform_899_07.wav,"өз кезегінде колумбия сыртқы істер министрінің орынбасары франсиско эчеверри саяси диалогтың дамуына жоғары баға беріп, екі мың он бесінші жылдан өткізіліп жүрген қазақстандық дипломаттар мен"
F1/Audio/inform_2061_14.wav,бұл фактіні ескеру керек - деді дариға назарбаева.
F1/Audio/inform_764_04.wav,"қалған екі-үш айда сөздікті редакциялап, баспаға дайындап, беттелген нұсқасын қарап шықтық."
F1/Audio/inform_2045_13.wav,"әзірге жергілікті атқару органдарымен барлық жұмыстарды бітірдік, - деді вице-премьер."
F1/Audio/inform_1632_03.wav,мемлекеттік кірістер органдардың өкілдері мен кәсіпкерлері де өз ойларын ортаға салды.
F1/Audio/inform_4132_14.wav,"ішкі істер министрлігіне әкімдіктермен бірлесіп, мереке алдындағы және мереке күндері санитарлық-эпидемиологиялық талаптарды сақтауды қамтамасыз ету тапсырылды."
F1/Audio/inform_619_04.wav,қонақтардың назарына әскери қызметшілердің жауынгерлік даярлығы көрсетілді.
F1/Audio/inform_3319_20.wav,құтқарушылар көп ұзамай екінші әйелді тауып алды.
F1/Audio/inform_2061_05.wav,"жоғарғы палатаның халықаралық қатынастар, қорғаныс және қауіпсіздік комитеті осы заң жобасына пысықтау жұмыстарын жүзеге асыратын және қорытынды әзірлеу бойынша бас комитет болып белгіленді."
F1/Audio/inform_3318_00.wav,түркістан облысының әкімі өмірзақ шөкеевтің төрағалығымен өткен апталық мәжілісте
F1/Audio/inform_2071_17.wav,мың тоғыз жүз сексен алты-мың тоғыз жүз тоқсан бірінші жылдары - қазақстан коммунисі журналының жауапты хатшысы.
F1/Audio/inform_1970_19.wav,"жақсылық досқалиевтің дерегінше, әлемде дамыған елдердің ішінде испанияда ағза транспланталогиясы біршама жақсы дамыған."
F1/Audio/inform_4089_10.wav,босния мен герцеговинадағы қазақстанның құрметті консулы амел диздаревичке және беркут босния іскерлік ынтымақтастық қауымдастығының белсенділеріне ерекше алғысын білдірді.
F1/Audio/inform_1163_171.wav,оған барша ел-жұрт куә болды.
F1/Audio/inform_764_37.wav,"мектеп оқушысынан бастап, түрлі саланың мамандары шет тілдерінен енген сөздердің мағынасын түсінгісі келіп, түрлі құралдарға, сөздіктерге жүгініп жатады."
F1/Audio/inform_1135_18.wav,оның бір мың екі жүзге жуығы нұрлы жер мемлекеттік бағдарламасы бойынша қаржы салған.
F1/Audio/inform_711_2.wav,ауыл шаруашылығы министрлігінің жүйесінде жер учаскелері бойынша үш те алты миллион мәліметтердің жүз он алты мыңы жаңартылып және ретке келтірілді.
F1/Audio/inform_1163_030.wav,қазір біз он сегіз жарым миллионнан астық!
F1/Audio/inform_760_07.wav,біз шығыс пен батыс арасындағы маңызды көлік хабы болып табыламыз.
F1/Audio/inform_2749_02.wav,бұл туралы қазақпарат қазақстан үкіметінің ресми сайтына сілтеме жасап хабарлайды.
F1/Audio/inform_4622_03.wav,"сол тұста кезекті әскери міндетін өтеуге шақырылып, онда бір жарым жыл жүріп, запастағы командир атағын алады."
F1/Audio/inform_1116_07.wav,итбалықтарға арналған микрочип олардың арқасына немесе басына эпоксид желімінің көмегімен орнатылған.
F1/Audio/inform_1108_13.wav,қазақстан мың тоғыз жүз тоқсан екінші жылдан бастап адам дамуының жоғары деңгейіне қол жеткізді.
F1/Audio/inform_832_05.wav,міндетті әлеуметтік медициналық сақтандыру  бойынша медициналық көмек көрсету басталғанға дейін әлеуметтік медициналық сақтандыру қоры.
F1/Audio/inform_3356_03.wav,бүгінде бизнестің де бағыттары жаңаруда.
F1/Audio/inform_3372_15.wav,біз барлық тергеу әрекетін жан-жақты зерделеп жүргіздік.
F1/Audio/inform_2037_09.wav,жемқорлық етек жайған сала басшыларын түрмеге шақыру алдағы уақытта да жалғаса бермек.
F1/Audio/inform_899_02.wav,"келіссөздер барысында қазақстан сыртқы істер министрінің орынбасары ержан ашықбаев энергетика, тау-кен өнеркәсібі саласындағы екіжақты ынтымақтастықты дамытудың жақсы әлеуетіне,"
F1/Audio/inform_2789_16.wav,"төрт пен жеті жыл болған жүз сексен сегіз мың тоғыз жүз алпыс бір көлік, сегіз бен он жыл болғандар жүз сегіз мың бес жүз сексен төрт,"
F1/Audio/inform_1122_12.wav,балуан шолақ шу өңірінде болған сапарында көтерген салмағы мың елу келі тартатын тас бүгінде аудандық тарихи өлкетану мұражайының алдына қойылған.
F1/Audio/inform_2830_50.wav,"шетелдік бұқаралық ақпарат құралдары өкілі сайлау науқаны аяқталғаннан кейін, сондай-ақ шетелдік бақ журналисін аккредиттеуді мерзімінен бұрын тоқтату туралы шешім қабылданған қабылданған жағдайда өз мәртебесін жоғалтады."
F1/Audio/inform_1616_09.wav,бұл жобаның аясында облысымызда үлкен жұмыстар атқарылып жатыр.
F1/Audio/inform_1511_16.wav,"желтоқсанның он жетісі күні таңертеңгі сағат сегізде қаладағы брежнев атындағы алаңға, қазіргі республика алаңы, саяси тәуелсіздікті талап еткен ұрандармен алғашында үш жүздей адам жиналып, кешкісін ереуілшілер саны жиырма мыңға жетті."
F1/Audio/inform_2736_06.wav,бұл туралы аталған департаменттің баспасөз қызметі хабарлады.
F1/Audio/inform_4129_06.wav,"жұмыс күші мол өңірлерден бес мың алты жүз алпыс бес адам, яғни бір мың алты жүз он отбасы қоныс аударды."
F1/Audio/inform_3443_19.wav,бюджеттің кіріс бөлігі бойынша бекітілген жоспарды жыл соңына дейін жүз пайыз орындау қажет.
F1/Audio/inform_4622_07.wav,батальон командирі ретінде аға лейтенант бауыржан момышұлы мәскеу үшін шайқаста екі жүз жеті рет ұрысқа қатысқан.
F1/Audio/inform_821_12.wav,"айта кетейік, қазіргі облыс әкімінің бастамасымен өңірде тұрғын үй кезегінде тұрған көпбалалы отбасыларының кезегі келгенше."
F1/Audio/inform_1978_14.wav,"әрдайым осылай абырой биігінде болыңыз, сіз асқар шыңға шығудың, шыққан соң сол биікте мәңгілікке қалудың озық үлгісін көрсеткен біртуар талант иесісіз!"
F1/Audio/inform_1979_06.wav,бұл мақсат кездейсоқ таңдалған жоқ.
F1/Audio/inform_815_09.wav,"ол кінәлі деп танылып, он жылға сотталды."
F1/Audio/inform_4092_36.wav,"екі мың он сегізінші жылы жоғарғы сот кеңесінің реформалар туралы заң жобасының тұжырымдамасы және судьялардың тәуелсіздігін қамтамасыз етуге, олардың кәсібилігі мен оларға халықтың сенімін арттыруға бағытталған."
F1/Audio/inform_1558_07.wav,"шымкент өз мәртебесін түсірмей, еліміздің бетке ұстар қалаларының бірі ретінде ары қарай дамуда."
F1/Audio/inform_1598_02.wav,"бірақ, ангара зымыраны уақытында дайын болмағандықтан, тараптар жобаны іске асырудың көптеген әртүрлі нұсқаларын қарастырып, талдау жасады."
F1/Audio/inform_3436_08.wav,"үшіншіден, келісімнің алты бабы жаңа редакцияда жазылды."
F1/Audio/inform_2770_24.wav,"жалпы ел бойынша ауырғандардың саны жүз отыз үш мың сегіз жүз сексен жеті адам, оның жүз он сегіз мың төрті емделіп шықты."
F1/Audio/inform_2804_04.wav,"сонымен қатар, айдар сейітқазинов кви және пневмониядан амбулаторлық ем алып жүрген науқастарды емдеу барысы туралы ақпарат берді."
F1/Audio/inform_3329_11.wav,"тіл жанашыры, қазақстан халқы ассамблиясына жиырма жыл, елбасының жарлығымен мемлекеттік марапат ерен еңбегі үшін медалімен марапатталды."
F1/Audio/inform_4088_08.wav,өйткені біз бәріміз белгіленген ережелерді сақтадық.
F1/Audio/inform_786_07.wav,нысанның құны бес бүтін оннан төрт миллиард теңгені құрады.
F1/Audio/inform_1608_08.wav,мың тоғыз жүз тоқсан тоғызыншы жылғы қарашада қазақстан республикасы президентінің жарлығымен қазақстан республикасы парламентінің екінші шақырылымында сенат депутаты болып тағайындалған.
F1/Audio/inform_1163_114.wav,"современные модели государственного строительства уже дистанцировались от концепции элитарности, исключительности власти."
F1/Audio/inform_830_56.wav,"ол ешкімге айта алмай, құпия сақтап, сыртқа тастап кетуі мүмкін."
F1/Audio/inform_1505_10.wav,"алматы мен елордада, жер-жерде көптеген шаралар ұйымдастырылып, өткенге тағзым еттік."
F1/Audio/inform_854_16.wav,"айта кетейік, елордада президент қасым-жомарт тоқаевтың қазақстан халқына жолдауының алғашқы нәтижелері талқыланып жатыр."
F1/Audio/inform_2808_07.wav,оның ішінде жетеуі - жас маман.
F1/Audio/inform_1607_2.wav,"сондай-ақ экономикалық ынтымақтастық, әлеуметтік, мәдени және гуманитарлық тақырыптар, қоршаған ортаны қорғау және табиғи ресурстарды пайдалану."
F1/Audio/inform_662_02.wav,"асфендияров атындағы қазақ ұлттық медицина университетінің қабырғасында өткен конференцияға хазихан бөкейхановтың шәкірттері, туыстары, сонымен қатар жоғары оқу орындарының студенттері қатысты."
F1/Audio/inform_1511_21.wav,"осы әскери күштер желтоқсанның он тоғызы күні қаланың әр тұсында кайтадан шеруге шықпақ болған алты топты басып, таратты."
F1/Audio/inform_2018_40.wav,ағзасы ауыстырылғандар арасында өтетін халықаралық жарыстарға қатысу үшін мемлекет тарапынан қандай қолдау көрсетілген?
F1/Audio/inform_2099_26.wav,жауап дұрыс емес - деді бақытжан сағынтаев.
F1/Audio/inform_3348_06.wav,өз кезегінде мемлекет кәсіпкерлерге жан-жақты қолдау көрсетті.
F1/Audio/inform_2013_15.wav,және алматы - қорғас учаскелерінде жұмыс істеп тұрған қазавтожол ұлттық компаниясы акционерлік қоғамының төлемақы алу жүйесімен кіріктіріледі.
F1/Audio/inform_3428_11.wav,он нысан жыл соңына дейін сатуға қойылады.
F1/Audio/inform_1120_05.wav,"осылайша, мақашбаев кәсіпқой рингте өткізген екінші айқасын да тең нәтижемен аяқтап отыр."
F1/Audio/inform_1548_17.wav,"сөйтсем, дәрінің құрамында дау туғызатын компоненттер бар екен."
F1/Audio/inform_1551_03.wav,"біз, біріккен ұлттар ұйымы халқы бейбітшілік, тұрақты даму және адам құқығы аясында ізгі ниетпен біріге алсақ, бұдан бүкіл әлем ұтады - делінген құттықтау жеделхатында."
F1/Audio/inform_825_04.wav,мың тоғыз жүз тоқсан бірінші жылы жиырма бірінші желтоқсан күні алматыда тәуелсіз мемлекет достастығының басты қағидалары мен мақсаттары декларациясына.
F1/Audio/inform_3344_12.wav,"сондықтан сақ жүру керек, - деді спикер."
F1/Audio/inform_2080_12.wav,"облыстық нью дженирэйшн лидерс еріктілер тобының жетекшісі айдана есіркеп сөз сөйлеп, өңір басшысына алғысын білдірді."
F1/Audio/inform_2725_16.wav,"яғни бұл - ғалымдарды тікелей қаржыландыру жүйесінің баламасы, - деді қазақстанның білім-ғылым министрлігі ұлттық биотехнология орталығының адам генетикасы зертханасының меңгерушісі мақсат жабағин."
F1/Audio/inform_2087_00.wav,шымкентте жергілікті билік пен қала тұрғындары арасында кері байланыс орнаған.
F1/Audio/inform_3359_07.wav,"мысалы, алматы мейірімділер клубы қоғамдық бірлестігі карантин кезеңінде және бүгінгі күнге дейін қаланың және жақын маңдағы ауылдардағы аз қамтылған көпбалалы отбасыларына бір мың екі жүз азық-түлік себетін жинап, жеткізді."
F1/Audio/inform_4639_00.wav,қарағанды облысында екі мың жиырмасыншы жылы медициналық оңалтуды қаржыландыру үш есеге артты.
F1/Audio/inform_3367_12.wav,мен үшін бұл конференцияға қатысу үлкен мәртебе.
F1/Audio/inform_3359_13.wav,"карантин туралы түсіндіру жұмыстарын жүргізді, эпидемиялық анамнез жинады және птр әдісімен коронавирус инфекциясының бар-жоғын анықтауға талдау жасауға көмектесті."
F1/Audio/inform_3372_21.wav,сотқа дейінгі тергеп-тексеруге үш айдан астам уақыт жұмсалған.
F1/Audio/inform_855_04.wav,"сүйікті қаламыз туралы қалам тербемеген жазушы, толғанбаған ақын жоқ десе болады."
F1/Audio/inform_792_07.wav,"сондай-ақ, біздің елде оларға мемлекеттер арасында жүріп тұруы үшін көліктік құжат беріледі."
F1/Audio/inform_811_11.wav,"ұйымдастырушылардың айтуынша, қыркүйекте басталған байқауға бір мыңнан астам өтінім келіп түсті."
F1/Audio/inform_3324_03.wav,"кездесу соңында лионель месси он бір метрлік айып добын дәл орындап, матчты түйіндеген еді."
F1/Audio/inform_3329_03.wav,"еңбек жолын республикалық спорт газетінде тілші, жауапты хатшы қызметінен бастаған."
F1/Audio/inform_3428_02.wav,өткен он бір айда он бүтін оннан бір триллион теңгеге мемлекеттік сатып алу рәсімі камералық бақылаумен қамтылды.
F1/Audio/inform_1981_08.wav,"сонымен қатар, бес жүз елу төрт мүгедектігі бар адам микрокредит алып, алты жүз елу тоғыз адам грантқа ие болды."
F1/Audio/inform_807_02.wav,осы орайда бұл шара жыл бойы атқарылған жұмыстың қорытындысы десек те болады.
F1/Audio/inform_720_05.wav,"олар белсенді әйелдерге өзін-өзі дамытуға, сұранысқа ие болуға және экономикалық дербес болуға көмектеседі."
F1/Audio/inform_3417_10.wav,бұл дерек бойынша прокуратура қазақстанның қылмыстық кодексінің екі жүз отыз төртінші бұл бабымен экономикалық контрабанда сотқа дейінгі тергеу амалдарын жүргізген болатын.
F1/Audio/inform_1136_00.wav,"түркістан қаласында үш жүзден астам заңсыз иеленген жерлер анықталды, деп хабарлайды қазақпарат түркістан облыстық прокуратурасының баспасөз қызметіне сілтеме жасап."
F1/Audio/inform_2816_01.wav,нәтижесінде жедел жәрдем жүргізушісі мен көлікте болған емделуші медициналық мекемеге көмекке жүгінді.
F1/Audio/inform_1112_11.wav,президенттің шағын және орта бизнесті қолдауының арқасында бірқатар өндіріс іске қосылды.
F1/Audio/inform_1121_33.wav,кіші инвазивті операциялар жүргізуге қажетті радиожиілікті абляция аппараты мен эндобейнехирургиялық құрал-жабдықтар бар.
F1/Audio/inform_1953_02.wav,жедел алдын алу шарасы барысында ағаш пен ағаш материалдарын тасымалдайтын көліктер тексеріледі.
F1/Audio/inform_1511_13.wav,ауданның аумағы он үш те алты шаршы шақырымды құрайды.
F1/Audio/inform_1100_03.wav,"балықшы тұман мен жол көрінбегендіктен, қайтар жолды таба алмай, адасып қалған."
F1/Audio/inform_1512_091.wav,"шөбі мен суы, жемі бар."
F1/Audio/inform_4528_01.wav,жамбыл облысында тоқсан бір нысанға аудиттік тексеру жүргізілген.
F1/Audio/inform_1611_17.wav,экспо-екі мың он жеті көрмесіне елдің дайындығы және астананың ерекшеліктері туралы мақалалар мен ақпараттық-танымдық материалдар енді.
F1/Audio/inform_1063_5.wav,"партия басшысы президенттің ауыл шаруашылығы жерлерін тиімді пайдалану, егістік алқаптарын нақты іспен айналысатын шаруаларға беру туралы тапсырмаларының өте өзекті екеніне тоқталды."
F1/Audio/inform_3439_10.wav,онда айналымдар екі мың он тоғызыншы жылмен салыстырғанда қырық бір де алты пайыз немесе сегіз триллион теңгеге азайған.
F1/Audio/inform_1512_008.wav,"әйелім күліп, мүмкін емес, сонау елордадан сені шақырғаны қалай? деп таңғалды."
F1/Audio/inform_1548_08.wav,конькимен жүгіру спортынан жаттықтырушы өз басынан өткен жағдай туралы баяндап берді.
F1/Audio/inform_3382_16.wav,бүгінде бейбітшілік пен келісімнің қазақстандық үлгісін халықаралық қауымдастық мойындады.
F1/Audio/inform_1960_121.wav,олар тіпті біздің күнде ішіп-жейтін тағамымыздың құрамынан да табылып жатыр.
F1/Audio/inform_1596_05.wav,сот тарапынан оған түзелуге мүмкіндік берілген.
F1/Audio/inform_2813_39.wav,біріншісі мамандықты таңдаған кезде қателесуіңіз мүмкін.
F1/Audio/inform_1137_00.wav,"саран қаласында көпбалалы отбасылардың баспана мәселесі толығымен шешілді, деп хабарлайды қазақпарат тілшісі."
F1/Audio/inform_1517_02.wav,"вконтакте әлеуметтік желісіндегі қазақстанның кәсіпқой боксы парақшасында мәлім етілгендей, бокс кешінде спортшыларымыздың мерейі үстем болды."
F1/Audio/inform_2736_07.wav,"алғашқыда бірнеше адамға пайызбен ақша берілген, нәтижесінде бұл топтар үшін қосымша жарнама болған."
F1/Audio/inform_1983_08.wav,"естеріңізге сала кетейік, атырау облысында жиырма мен жиырма тоғыз жас аралығындағы тұрғындарға қызылша мен қызамыққа қарсы қосымша екпе жасалып жатыр."
F1/Audio/inform_665_17.wav,"бұдан бөлек, апаттық жағдайды болдырмас үшін тиісті шаралар қолданылуда."
F1/Audio/inform_1979_15.wav,"мұнымен қоса, ұлт жоспарының жиырма жетінші қадамы аясындағы екінші кезең сот орындаушысы институтын ары қарай сот орындаушысы институтын ары қарай дамытуға тың серпін берді, - деді бекетаев."
F1/Audio/inform_1123_18.wav,"екі мың он екі-он алтыншы жылдары - бесінші сайланған қазақстанның парламенті мәжілісінің депутаты, заңнама және сот-құқықтық реформа комитетінің мүшесі."
