audio_filepath,texts
F2/Audio/inform_3260_08.wav,"осыған байланысты ағымдағы экономикалық жағдайды ескере отырып, мемлекеттік бағдарламада көзделген шалқар қаласынан бейнеу ауылына дейінгі автомобиль жолы құрылысының жобасын іске асыру іске асыру бұрын басталған
"
F2/Audio/inform_1473_24.wav,қайырымдылық акцияларының келесі кезеңі жиырма сегіз петель қоғамдық қорына практикалық көмек көрсету болды.
F2/Audio/inform_710_3.wav,"Бүгінде жиырма мыңнан астам қазақстандық жеңіл атлетикамен айналысады, оның ішінде он бір мыңы балалар мен жасөспірімдерге арналған спорт мектептерінде оқиды, алты жүзден астамы кәсіби спортпен шұғылданады.
"
F2/Audio/inform_1349_41.wav,"біздің қоғамда мен өз жұмысымды істеп жүрмін, не үшін қосымша жұмыс істеуім керек? деп ойлайтындар аз емес."
F2/Audio/inform_3233_08.wav,қаланың медициналық ұйымдарындағы кәріз суларының биологиялық қауіпсіздігі режимі енгізілді.
F2/Audio/inform_1449_08.wav,"өзге қатысушылардан артықшылығым бар деп ойламаймын, бірақ мені ерекше ететін тұсым - өзге әйелдерге көмектесуге құштарлығым, оларға менде бар мүмкіндіктерді сыйлауға қолдан келгенді жасау,"
F2/Audio/inform_2486_8.wav,"оңтүстік-шығыс, шығыс аймақтардың таулы жерлерінде нормадан көп, ал қалған аймақтарда климаттық норма шамасында болжанады, делінген хабарламада."
F2/Audio/inform_620_08.wav,"ресейлік төрешілер қонақтарды сексен минуттық айып уақытымен жазалап, тіпті сексен бес минутта оралдық қорғаушы илья глуховқа қызыл қағаз көрсетіліп, айдыннан қуды.
"
F2/Audio/inform_2455_19.wav,"әсер әкелетінін, шағын және орта бизнестің дамуына, жаңа жұмыс орындарының пайда болуына, сондай-ақ газ құбыры бойындағы өңірлер инфрақұрылымының дамуына серпін беретінін атап өткен жөн."
F2/Audio/inform_965_129.wav,биыл уақыт тығыз болып кетті.
F2/Audio/inform_4411_05.wav,ал суармалы жерлердің ауданы екі мың он тоғызыншы жылмен салыстырғанда он бір пайызға ұлғайды.
F2/Audio/inform_590_02.wav,"іс-шараға қазақстан республикасы ақпарат және қоғамдық даму министрі аида балаева, қазақстан халқы ассамблеясы төрағасының орынбасарлары бекбаева мен кузиев, қазақстан халқы ассамблеясының қазақстан республикасы парламенті мәжілісіндегі депутаттары,"
F2/Audio/inform_595_21.wav,"бұған дейін университет ректоры жансейіт түймебаев бастаған жоғары оқу орнының басшылығы, ғылыми қоғам өкілдері, өмірбек жолдасбековтің отбасы мүшелері, кезінде бірге жұмыс істеген әріптестері,"
F2/Audio/inform_1010_06.wav,он үшінші желтоқсан жанұя отбасы институтын қолдау орталығында сағат он бес нөл-нөлде қаланың меценаттары балақайларға арналған инватакси мен отыздан аса сыйлықты салтанатты түрде табыстайды.
F2/Audio/inform_3215_07.wav,"сұлу сөз қаншалықты аз болса, мазмұны соншалық бай болады.
"
F2/Audio/inform_1304_02.wav,"көптеген сынақтар арқылы жүріп өткен жолымыз барлық салада қуатты әлеуетке ие, тәуелсіз мемлекетті құруға мүмкіндік берді."
F2/Audio/inform_2443_02.wav,әлеуметтік желіде мейрамхана ішінде жаппай төбелес туралы ақпарат жан-жаққа тарап кетті.
F2/Audio/inform_2500_45.wav,делінген министрлердің ант мәтінінде.
F2/Audio/inform_3288_11.wav,"бұл күндері аса мұқият болыңыздыр!, - деді алтай көлгінов."
F2/Audio/inform_953_043.wav,"сонымен қатар қойылған міндетті шешу мақсатында жергілікті атқарушы органдарға экология, геология және табиғи ресурстар министрлігімен және атамекенмен, сондай-ақ басқа да мүдделі органдармен бірлесіп жаңа суармалы массивтерді,"
F2/Audio/inform_577_6.wav,"қазақстан жазушылар одағының төрағасы есдәулет, алматыдағы қха қоғамдық келісім кеңесінің төрағасы шардинов, ақын елгезек, нөмер жетінші қалалық клиникалық аурухананың дәрігері шерияздан ескерткіштің ашылуын қолдап сөз сөйледі."
F2/Audio/inform_586_01.wav,"керекті құрал-жабдықтармен қамтамасыз етіп, тіпті жедел жәрдем қызметкерлерін тасымалдап, ыстық тамақпен қамтамасыз еткен мейірімді жандарға алғысым шексіз."
F2/Audio/inform_4424_02.wav,біз әлеуметтік маңыздағы азық-түліктің бағасын тұрақтандыру үшін бірқатар шараларды жүзеге асырдық.
F2/Audio/inform_619_04.wav,"қонақтардың назарына әскери
"
F2/Audio/inform_1261_3.wav,"осыған қарай, барлық сауда орталықтары және басқа да ет павильондары мен мал сою бекеттері тексерілді."
F2/Audio/inform_2500_38.wav,екі мың он алтыншы жылдан мәдениет және спорт вице-министрі болған ақтоты райымқұлованың да министр креслосына отырғанына көп бола қойған жоқ.
F2/Audio/inform_927_08.wav,сағат он бес нөл-нөлде сенатта мемлекет басшысының сындарлы қоғамдық диалог - қазақстанның тұрақтылығы мен гүлденуінің негізі атты қазақстан халқына жолдауында айтылған тапсырмалар аясында
F2/Audio/inform_627_07.wav,жошы ханның атақонысы ол кезде алтын орданың саяси әрі рухани орталығы еді.
F2/Audio/inform_2433_11.wav,петропавлдағы жас өркен ықшам ауданы соңғы бірер жылда танымастай өзгерді.
F2/Audio/inform_556_11.wav,"облыста мерекелік корпоративтерді ұйымдастыру мен өткізуге, букмекерлік кеңселердің қызметіне тыйым салу жалғасады.
"
F2/Audio/inform_958_69.wav,елімізде он төрт жасқа дейінгі балалардың саны соңғы бес жыл ішінде шамамен бір миллионға көбейді.
F2/Audio/inform_1432_14.wav,"есесіне одақтың орталық министрлігі шаңырағында шыңдалып жүрген, тәжірибе жағынан шет елдердің дипломаттары арасында таныла бастаған қазақ қызметкерлер жоқ емес-тін."
F2/Audio/inform_705_11.wav,"атап айтқанда, жүз тоқсан бір бүтін"
F2/Audio/inform_1001_01.wav,"жиында атаулы әлеуметтік көмек көрсетудегі соңғы мәліметтер мен бұл тұста орын алған олқылықтар талқыланды, деп хабарлайды қазақпарат облыс әкімінің баспасөз қызметіне сілтеме жасап."
F2/Audio/inform_627_17.wav,"бұл күкірт бөліп алу үшін кен балқытқан металлургиялық пеш болуы да мүмкін.
"
F2/Audio/inform_677_23.wav,жақында ғана қоныс аударған марал ауылға танымал бола бастады.
F2/Audio/inform_582_05.wav,"жылыту желісінен уақытша ажыратуға тура келді, - деп хабарлады алматы жылу желілері жауапкершілігі шектеулі серіктестігі."
F2/Audio/inform_1448_09.wav,"электр станциясының іске қосылуы еліміздегі жаңартылған энергия көздерінің үлесін арттыру, жасыл технологияларға көшу бағытында жасалған зор қадам деп білу керек."
F2/Audio/inform_3269_01.wav,"өз алдына әлемнің үздік жүз жоғары оқу орнының қатарына кіру мақсатын алға қоюда.
"
F2/Audio/inform_2463_07.wav,"экатеринбург қаласынан нұр-сұлтан қаласына бағыт алған екен.
"
F2/Audio/inform_1238_19.wav,"олардың ішінде белгілі әншілер тамара асар мен димаш құдайберген, ғалым жұмаділдаев, киноактер есімғалиев, дирижер салаватов, балет әртісі семенова және басқалар бар.
"
F2/Audio/inform_3262_02.wav,оқулық авторларын оқыту аясында ғылыми терминологияны қолданудың бірыңғай тәсілін пайдалануға ерекше көңіл бөлінеді.
F2/Audio/inform_914_16.wav,учаскелік полиция инспекторына да алғыс хат берілді.
F2/Audio/inform_700_00.wav,түркістанда шағын және орта бизнестегі өнім көлемін ұлғайту жайы талқыланды.
F2/Audio/inform_730_22.wav,өңіріміздегі барлық стартаптарға қолдау көрсету
F2/Audio/inform_1466_07.wav,жаяу жүргіншілер үшін мұздың қалыңдығы он екі сантиметрден аспауы керек.
F2/Audio/inform_929_06.wav,"шымкент - мәдени, экономикалық және әлеуметтік тұрғыдан дамыған шаһарға айналмақ."
F2/Audio/inform_2494_09.wav,сонымен қатар ол педагог жұмысын ынталандыруға бағытталған негізгі шараларға тоқталды.
F2/Audio/inform_962_07.wav,дереу облыстық жедел жәрдем бригадасы жіберілді.
F2/Audio/inform_3213_05.wav,"олар бір-бірін кәсіби біліксіз, жеке және басқа да байланыстарын пайдаланады деп кінәлайды."
F2/Audio/inform_965_124.wav,"рухани орталық болады, кейін үлкейеді, біз осы жерде өмір сүргіміз келеді деп."
F2/Audio/inform_4404_4.wav,оның ішінде алты заң жобасы мемлекет басшысының екі мың жиырмасыншы жылғы бірінші қыркүйектегі жолдауынан туындайды.
F2/Audio/inform_729_08.wav,мешіт іргесінің берік болуы үшін өзіндік технология әзірленді.
F2/Audio/inform_2414_23.wav,қазір исаевтар әулеті жаңа жылды қарсы алуға дайындалуда.
F2/Audio/inform_3279_07.wav,"күнделікті кешенді іс-шаралар атқарылып, жасалған жұмыстардың арқасында полиция қызметкерлері оң нәтижеге қол жеткізді."
F2/Audio/inform_925_11.wav,мемлекеттік саясатты жергілікті жерде табысты іске асыруға үлес қосқан бірқатар азаматтар түркістан облысы әкімінің алғыс хатымен марапатталды.
F2/Audio/inform_707_6.wav,"бұл ретте мемлекеттік кіріс органдары мен әкімдіктер микро және шағын бизнес субъектілерін онлайн бақылау кассалық машиналарды,"
F2/Audio/inform_561_15.wav,"және көрермендердің орын санын жиырма пайызға ғана толтырып, спорттық іс-шараларды өткізуге рұқсат берілді."
F2/Audio/inform_3286_07.wav,дәл осы жүйе бірінші кезекте өмір сапасын қамтамасыз етіп отырады.
F2/Audio/inform_1011_10.wav,"үшінші дәрежелі ксро қарулы күштерінде отанға қызмет еткені үшін, екінші дәрежелі барыс, халықтар достығы, тмд-ға қатысушы мемлекеттер парламентаралық ассамблеясы достастығы ордендерімен;"
F2/Audio/inform_1483_08.wav,"басты мақсат - ауылдық округте істейтін мамандарға жағдай жасап, сол арқылы халықтың әл-ауқатын көтеру жолындағы тапсырмаларды мүлтіксіз орындауды талап ету болмақ."
F2/Audio/inform_1323_20.wav,"бірақ акселерацияның басты мақсаты - бұл тіпті инвестиция тарту емес, стартап негізін қалаушы мен команда алатын білім мен жұмыс дағдылары."
F2/Audio/inform_1318_14.wav,"сонымен бірге, мемлекет басшысы өз сөзінде волонтерлікті дамытудың жеті бағытын атаған еді."
F2/Audio/inform_1271_04.wav,"мәслихат отырысында мәлім болғандай, келер жылдың көлемінде тмд елдері өнер шеберлерінің мерекелік концерттерін ұйымдастыру жоспарланған."
F2/Audio/inform_1477_06.wav,бас қонақ ретінде қатысқан моңғолияның сыртқы қатынастар министрі
F2/Audio/inform_998_08.wav,"жаңа ғана жастардың бір топ өкілі түрлі өзекті тақырыптарда жақсы сөз сөйледі.
"
F2/Audio/inform_2419_06.wav,олар ары қарай амбулаториялық ем қабылдайды.
F2/Audio/inform_3216_06.wav,мұны бүгінгі күнге үзілмей жеткен аңыздар деректері айғақтайды.
F2/Audio/inform_965_235.wav,"прозадағы көркем тілге қазір мен тұщынбаймын.
"
F2/Audio/inform_662_02.wav,"асфендияров атындағы қазақ ұлттық медицина университетінің қабырғасында өткен конференцияға хазихан бөкейхановтың шәкірттері, туыстары, сонымен қатар жоғары оқу орындары студенттері қатысты."
F2/Audio/inform_2465_17.wav,"ахқо соты мен халықаралық арбитраж төрелік орталығы еуразия, азия және еуропадағы дауларды шешу жөніндегі жетекші орталықтармен ынтымақтастық туралы он жетінші меморандумға қол қойды.
"
F2/Audio/inform_969_08.wav,он бірінші желтоқсанда ақтөбе облысының басым бөлігінде тұман күтіледі.
F2/Audio/inform_1315_10.wav,"осы жылы олар әлеуметтік медициналық сақтандыру қорына, сонымен қатар азаматтардың басқа санаттарына жарна ала бастады."
F2/Audio/inform_3213_09.wav,қателесу қаупін арттырады.
F2/Audio/inform_2431_01.wav,мемлекеттік әлеуметтік сақтандыру қоры акционерлік қоғамынан екі мың бес-екі мың он тоғызыншы жылдары төрт бүтін оннан тоғыз миллион адам жалпы сомасы бір бүтін оннан екі триллион теңгеден астам әлеуметтік төлем алды.
F2/Audio/inform_997_07.wav,осыған орай республикалық бюджеттен қосымша бес миллиард теңгеге жуық қаржы бөлеміз.
F2/Audio/inform_2419_02.wav,он екі адам қаза тапты.
F2/Audio/inform_1465_01.wav,сарысу ауданының ортаылығы жаңатас қаласындағы бос тұрған көппәттерлі үйлерді қалпына келтіру шаралары жалғасуда.
F2/Audio/inform_3194_04.wav,"тұрғындар қоқыс полигондарының қала ішінде де, одан тыс жерлерде де пайда болатындығына күн сайын куә."
F2/Audio/inform_1264_09.wav,бір жыл алты ай мерзімге бас бостандығынан айыру жазасына сотталды - деп мәлім етті қызылорда қаласы прокуратурасының бөлім прокуроры қуаныш назар.
F2/Audio/inform_1429_01.wav,"өте жақсы бастама! қолдаймын! бұл ән халықтың рухын көтеріп, патриотизмді арттыру үшін кең ауқымда дәріптелсе орынды болар еді."
F2/Audio/inform_965_090.wav,"бірақ, қазіргі күнде сол кездегідей қаламақы төленбейді.
"
F2/Audio/inform_4430_12.wav,"облыстың барлық емханаларында, сондай-ақ стационарларда коронавирус инфекциясын емдеуге арналған дәрілердің жеткілікті көлемі бар."
F2/Audio/inform_563_03.wav,"сондай-ақ толтырылуын отыз пайыздан асырмай, жалпы саны елу адамға еске алу рәсімдерін, ас беру, өткізуге, бір отбасы мүшелерін қоспағанда көрермендерді шахматтық реттілікпен отырғызып,
"
F2/Audio/inform_1321_33.wav,пәтер иелері несиені сегіз жыл ішінде қайтаратын болады.
F2/Audio/inform_2469_04.wav,"бір мың тоғыз жүз сексен бірінші жылы қазақ мемлекеттік университетін тәмамдаған соң, социалистік қазақстан қазіргі егемен қазақстан газетінде тілші, бөлім меңгерушісі
"
F2/Audio/inform_2450_039.wav,көбейтуге тапсырамы берді деген жақсы білесіздер.
F2/Audio/inform_2479_12.wav,"сондай-ақ, басқосуда салалардағы жетістіктермен қатар, жылдық жоспардың орындалмауы мүмкін көрсеткіштер де айтылды."
F2/Audio/inform_585_04.wav,"ол қазақстан республикасы кәсіпкерлік кодексіне сәйкес шағын және орта кәсіпкерлік субъектілері болып танылған және осы режимді қолдану мақсатында,"
F2/Audio/inform_987_177.wav,"жауынгерлігінің айғақтары - сүңгі, селебе, жебе, кездік, қалқан сияқты бес қару."
F2/Audio/inform_915_2.wav,"ведомствоның мәліметінше, қарағанды қаласында грек-рим, еркін және әйелдер күресінен совет одағының батыры нүркен әбдіровтың құрметіне республикалық турнир өтті.
"
F2/Audio/inform_703_05.wav,ақтық сынға он сегіз ақыннан он ақын өтті.
F2/Audio/inform_1246_16.wav,"бір мың тоғыз жүз алпыс төрт-екі мың екінші жылдары әдебиеттану ғылымы мен теориясын зерттеу, орта және жоғары оқу орындарына арналған оқулықтар жазу ісінде де жемісті еңбек еткен."
F2/Audio/inform_953_152.wav,кепілдендіру институттарын дамыту кепілдікпен қамтамасыз ету жеткіліксіз болған жағдайда жартылай кепілдендіру мен займды сақтандыруда қолдау көрсетіледі.
F2/Audio/inform_2489_02.wav,"ресми сапар барысында екіжақты ынтымақтастық мәселелері қаралды және ақш мемлекеттік хатшысының қазақстанға, орталық азия елдеріне баруы туралы келісімге қол жеткізілді, - деп түсіндірді саясаттанушы."
F2/Audio/inform_1001_16.wav,бұл - өте маңызды мәселе.
F2/Audio/inform_665_17.wav,"айта кетейік, қазіргі таңда атырау облыстық әкімдігі жанынан әкім орынбасары жұмабай қарағаевтың төрағалығымен жұмыс комиссиясы құрылды."
F2/Audio/inform_709_01.wav,мүдделі мемлекеттік органдар осы бағытта үйлестірілген жұмысты жалғастыруы қажет.
F2/Audio/inform_3229_01.wav,"бұл туралы сыбайлас жемқорлықтың себептері мен жағдайларын жою мақсатында ұйымдастырылған онлайн бейнеконференция барысында айтылды, деп хабарлайды қазақпарат тілшісі."
F2/Audio/inform_1277_07.wav,мәңгі есімізде мемориалы қорғаныс министрлігінің ғимаратында әскери міндеттің үлгілі орындалуының және отанға шексіз қызмет етудің үлгісі ретінде әскери қызметшілердің алдында орнатылған.
F2/Audio/inform_3237_06.wav,самұрық-қазына қоры төрт миллион ақш доллары көлемінде назарбаев университетіне қолдау көрсетеді.
F2/Audio/inform_678_13.wav,"Кейін бұл құстарға қызығушылығым оянды.
"
F2/Audio/inform_701_03.wav,жаңа өзгерістер қазақстан республикасының кейбір заңнамалық актілеріне мемлекеттік қызметтер көрсету мәселелері бойынша өзгерістер мен толықтырулар енгізу туралы заңында көрсетілген.
F2/Audio/inform_1010_00.wav,"қазақстан республикасы тәуелсіздік күні мерекесіне орай елорда тұрғындары мен қонақтарына концерттік бағдарламалар, тегін экскурсиялар мен театр қойылымдары әзірленді, деп хабарлайды қазақпара елорда инфо сайтына сілтеме жасап."
F2/Audio/inform_2410_23.wav,өмірлік қиын жағдайда қалған қазақстан республикасы азаматтарының борыш жүктемесін азайту жөнінде уақтылы көмек көрсету мақсатында қаулыға қол қойды.
F2/Audio/inform_2437_10.wav,қазасқтан республикасы президенті қасым-жомарт тоқаев ұшақ апатына кінәлілер заңға сәйкес қатаң жазаланатынын мәлімдеді.
F2/Audio/inform_1305_05.wav,"алайда, ештеңе өзгерер емес."
F2/Audio/inform_2452_01.wav,"бұл ауылдарды дамыту үшін қазынадан екі бүтін оннан екі миллиард теңге бөлінді, деп хабарлайды қазақпарат."
F2/Audio/inform_2455_03.wav,орталық және солтүстік өңірлерін отандық көгілдір отынмен қамтамасыз етуге мүмкіндік береді.
F2/Audio/inform_1348_09.wav,"сарай қызметін жан-жақты білетін білікті, білімді адам ретінде танылып, ханның мұрагер баласы әбу ар-рашид сұлтанның тәрбиешісі болады."
F2/Audio/inform_583_04.wav,"мен қазақ тілінде сөйлегенді ұнатамын және оны туған тілім деп есептеймін, - деді герасимова елордада тәуелсіздіктің отыз жылдығы мен алғыс айту күнінің бес жылдығына арналған дөңгелек үстелде."
F2/Audio/inform_1450_08.wav,ал бірінші ауыр салмақтағы уәлихан бисенқұлов ресейлік иван арацкиймен кездесті.
F2/Audio/inform_2451_5.wav,оныншы қаңтарға дейін аралықта әуе компаниясы шамамен он тоғыз мың билет сатқан.
F2/Audio/inform_2407_08.wav,"енді, міне кешен құрылысы да аяқталды."
F2/Audio/inform_987_199.wav,"мәсі-кебіс мәністі шығар-ау, екі беті қып-қызыл болатын.
"
F2/Audio/inform_674_12.wav,түрік жұрты сіздердің қысқа уақыт ішінде қол жеткізген жетістіктеріңізге сүйсіне қарайды.
F2/Audio/inform_642_6.wav,"стелланы ашу рәсімінде қала мэрі талайбек сарыбашов, ош түркі әлемінің мәдени астанасы - екі мың он тоғыз шарасы барша түркітілдес елдері үшін маңызды шара екенін атап өтіп
"
F2/Audio/inform_3222_04.wav,төрт адам көлікпен бірге мұз астына кетеді.
F2/Audio/inform_2409_00.wav,солтүстік қазақстан облысының мамлютка қаласында отыз тоғыз жастағы әйел мен оның үш жасар қызын пышақтап өлтірген қылмыскерге қатысты сот үкімі шықты.
F2/Audio/inform_665_19.wav,"бұдан бөлек, апаттық жағдайды болдырмас үшін тиісті шаралар қолданылуда."
F2/Audio/inform_594_09.wav,ассамблея түркістан облысында су тасқынынан зардап шеккендерге үш жүз отыз бес тонна гуманитарлық көмек жіберген.
F2/Audio/inform_2485_14.wav,бүгінде бір- жылу электр орталығы мен екінші-жылу электр орталығы қаланың екі жарым мың көппәтерлі тұрғын үй
F2/Audio/inform_1278_14.wav,"жергілікті кадрларды шұғыл жағдайларда симуляциялық макеттерде жұмыс істеуге оқытудан өтіп, біліктілігін арттыру жоспарланып отыр."
F2/Audio/inform_578_00.wav,"облысымыздағы қан қызметінің тарихы сонау бір мың тоғыз жүз отыз сегізінші жылдан бастау алады, онда алғаш рет жер аударылған дәрігер герман николаевич алалыкин науқастың өмірін сақтап қалу үшін қан құйған болатын."
F2/Audio/inform_4431_07.wav,сол хабарды естіген соң дайындала бастадым.
F2/Audio/inform_720_04.wav,отырыста қарағанды облысындағы фрилансер мектептерінің оң тәжірибесі атап өтілді.
F2/Audio/inform_3227_18.wav,"сонымен бірге, вице-министрдің мәліметінше, алматы қаласы мен қарағанды облысында сауда үйлері мен орналасқан сауда және халыққа қызмет көрсету объектілерінің, нақтырақ айтсақ, химиялық тазалау, киім, аяқ киім жөндеу қызметіне рұқсат берілген."
F2/Audio/inform_4406_01.wav,"бұл туралы премьер-министр асқар мамин мәлім етті, - деп хабарлайды қазақпарат тілшісі."
F2/Audio/inform_625_01.wav,қазақпарат тілшісі нұр-сұлтан қалалық полиция департаментіне сілтеме жасап.
F2/Audio/inform_1348_23.wav,"туындының продюсері мұрат бидосов, қоюшы режиссері бақыттас санитасов, сценарий авторы сержан зәкерұлы."
F2/Audio/inform_995_5.wav,"ұлы абайдың пайда ойлама, ар ойла. талап қыл артық білуге дейтін өсиетін үнемі есте ұстау керек, - дейді қасым-жомарт тоқаев."
F2/Audio/inform_939_14.wav,биыл бидай құнының өсуіне байланысты жергілікті бюджеттен әлеуметтік нанның бағасын тұрақтандыру үшін үш жүз миллион теңге қосымша бөлінді.
F2/Audio/inform_1248_10.wav,екі мың жеті-екі мың сегізінші жылдары - қызылорда облысының әкімі.
F2/Audio/inform_590_03.wav,"нұр-сұлтан, алматы, шымкент қалаларымен облыстар әкімдерінің орынбасарлары, мүшелері, этномәдени бірлестіктері мен жастар қанатының өкілдері және тағы да басқалары қатысты."
F2/Audio/inform_1253_20.wav,"концерт барысында димаш халықпен де араласуға үлгерді.
"
F2/Audio/inform_990_14.wav,елімізде он төрт жасқа дейінгі балалардың саны соңғы бес жыл ішінде шамамен бір миллионға көбейді.
F2/Audio/inform_1445_06.wav,"аймақ басшысы қазақстан республикасы тұңғыш президенті-елбасы назарбаевтың сарабдал саясатының арқасында барлық қазақстандықтардың қолдауымен қиындықтарды бірге жеңіп, жоғары нәтижелерге жеткенімізді атап өтті."
F2/Audio/inform_3266_03.wav,криминалдық полиция қызметкерлері арнайы жасақ сарбаздарының көмегімен ағайынды екі азаматты ұстады.
F2/Audio/inform_4413_01.wav,"соңғы жылдары өзен ағынының нақты ресурстары жылына тоқсан, жүз текше шақырымды құрады."
F2/Audio/inform_930_04.wav,"олардың он үш бүтін оннан тоғыз миллиард теңгесі негізгі борыш және алты бүтін оннан үш миллиард теңгесі берешекті өсімі, барлығы жиырма бүтін оннан екі миллиард теңге берешек."
F2/Audio/inform_2450_085.wav,"осыған байланысты біраз мамандықтың тарих қойнауына кеткені де, кететіні де рас."
F2/Audio/inform_997_03.wav,еліміздің ірі қалаларында жұмысшы жастарға тоғыз мың пәтер беру туралы шешім қабылданғанын еске салды.
F2/Audio/inform_965_089.wav,қазір біздің еліміздің экономикалық жағдайы жаман емес.
F2/Audio/inform_2479_11.wav,"нығшманов баяндама жасап, өз бағыттары бойынша күтіліп отырған көрсеткіштерге тоқталды."
F2/Audio/inform_1038_00.wav,шымкентте оқушылардың дұрыс тамақтануы мен денсаулықты нығайтуға ықпал ететін мектептер жобасы тақырыбында конференция өтті.
F2/Audio/inform_998_11.wav,"қазақстан президенті биылғы жылдың мән-маңызы ерекше болғанын, елбасы нұрсұлтан назарбаевтың бастамасымен барша ел болып, жастар жылын өткізгенімізді айтты."
F2/Audio/inform_2466_05.wav,әкімдер жылыту маусымын жеке бақылауда ұстауы керек.
F2/Audio/inform_3205_09.wav,оған алғашқы медициналық және психологиялық көмекті көрсетілді.
F2/Audio/inform_627_38.wav,"олар бізге дұға арнап, еске алсын!"
F2/Audio/inform_672_04.wav,"осы орайда, жолаушылар тасымалын қамтамасыз ету бағытында компания алға қойылған мақсаттарды барынша оңтайлы орындайтын болады, - деді ол орталық коммуникациялар қызметіндегі баспасөз мәслихатында."
F2/Audio/inform_3217_05.wav,"бір мың тоғыз жүз тоқсан төрт-екі мыңыншы жылдары инспектор, кезекші өрт сөндіру қызметінің басшысы, петропавл қалалық күзет бекетінің бастығы болып жұмыс істеді."
F2/Audio/inform_3191_03.wav,франция екі мың он сегізінші жылғы соңғы әлем чемпионатында алтыннан алқа таққан.
F2/Audio/inform_676_01.wav,нәтижесін ресми түрде жариялаған.
F2/Audio/inform_1003_0.wav,"елорда әкімдігінде қала басшысы алтай көлгіновтің басшылығымен сыбайлас жемқорлыққа қарсы іс-қимыл жөніндегі ведомствоаралық комиссияның отырысы өтті, деп хабарлайды қазақпарат."
F2/Audio/inform_1482_16.wav,"бұл - тәуелсіздік күні қалай келгенін еске алып, бағалайтын күн."
